"Selected Filters: All States | All Programs"
""
"Total Funding: $9,835,080,336"
"Number of Grants: 12,702"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"A+ Family Healthcare, Llc","H8DCS36499","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brownsville","KY","42210-9001","Edmonson","KY-02","2020","$503,000"
"A+ Family Healthcare, Llc","H8ECS38322","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Brownsville","KY","42210-9001","Edmonson","KY-02","2020","$116,824"
"A+ Family Healthcare, Llc","H8LCS51707","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Brownsville","KY","42210-9001","Edmonson","KY-02","2023","$11,436"
"A+ Family Healthcare, Llc","H8CCS34679","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Brownsville","KY","42210-9001","Edmonson","KY-02","2020","$50,464"
"A+ Family Healthcare, Llc","H8FCS40823","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Brownsville","KY","42210-9001","Edmonson","KY-02","2021","$665,625"
"A+ FAMILY HEALTHCARE, LLC","H8FCS40823","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Brownsville","KY","42210-9001","Edmonson","KY02","2022","$65,500"
"A+ FAMILY HEALTHCARE, LLC","H8GCS48455","FY 2023 Expanding COVID-19 Vaccination (H8G)","Brownsville","KY","42210-9001","Edmonson","KY02","2023","$87,034"
"Aaa Comprehensive Healthcare Inc.","H8FCS41463","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2021","$1,741,500"
"Aaa Comprehensive Healthcare Inc.","H8GCS48682","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2023","$27,500"
"Aaa Comprehensive Healthcare Inc.","C8ECS43743","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2021","$552,118"
"Aaa Comprehensive Healthcare Inc.","H8LCS50898","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2023","$16,682"
"AAA COMPREHENSIVE HEALTHCARE INC.","H8GCS48682","FY 2023 Expanding COVID-19 Vaccination (H8G)","North Hollywood","CA","91605-2803","Los Angeles","CA29","2023","$91,048"
"Aaa Comprehensive Healthcare, Inc","H8DCS35790","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2020","$580,760"
"Aaa Comprehensive Healthcare, Inc","H8CCS34055","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2020","$54,981"
"Aaa Comprehensive Healthcare, Inc","H8ECS38618","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","North Hollywood","CA","91605-2803","Los Angeles","CA-29","2020","$169,399"
"Aaron E. Henry Community Health Services Center, Inc.","C8ECS44184","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2021","$653,780"
"Aaron E. Henry Community Health Services Center, Inc.","H8GCS47986","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2023","$27,500"
"Aaron E. Henry Community Health Services Center, Inc.","H8CCS34788","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2020","$66,220"
"Aaron E. Henry Community Health Services Center, Inc.","H8GCS47986","FY 2023 Expanding COVID-19 Vaccination (H8G)","Clarksdale","MS","38614-4717","Coahoma","MS02","2023","$123,421"
"Aaron E. Henry Community Health Services Center, Inc.","H8DCS36067","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2020","$828,710"
"Aaron E. Henry Community Health Services Center, Inc.","H8ECS38913","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2020","$308,029"
"Aaron E. Henry Community Health Services Center, Inc.","H8LCS51554","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2023","$30,091"
"Aaron E. Henry Community Health Services Center, Inc.","H8FCS41634","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Clarksdale","MS","38614-4717","Coahoma","MS-02","2021","$2,987,000"
"Aaron E. Henry Community Health Services Center, Inc.","H8FCS41634","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Clarksdale","MS","38614-4717","Coahoma","MS02","2022","$65,500"
"Acadiana Cares Inc","L1CCS39400","FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing (L1C)","Lafayette","LA","70501-1884","Lafayette","LA-03","2020","$130,592"
"Acadiana Cares Inc","L2CCS42395","FY 2021 American Rescue Plan - Funding for Look-Alikes (L2C)","Lafayette","LA","70501-1884","Lafayette","LA-03","2021","$701,750"
"ACADIANA CARES INC","H8GCS48899","FY 2023 Expanding COVID-19 Vaccination (H8G)","LAFAYETTE","LA","70501-1884","Lafayette","LA03","2023","$58,936"
"ACADIANA CARES INC","L2CCS42395","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (L2C)","Lafayette","LA","70501-1884","Lafayette","LA03","2022","$65,500"
"Acadiana Concern For Aids Relief, Education And Support, Inc.","H8GCS48899","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Lafayette","LA","70501-1884","Lafayette","LA-03","2023","$27,500"
"Acadiana Concern For Aids Relief, Education And Support, Inc.","H8LCS50596","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Lafayette","LA","70501-1884","Lafayette","LA-03","2023","$11,839"
"Access Community Health Centers, Inc.","H8LCS51467","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Madison","WI","53713-4231","Dane","WI-02","2023","$63,816"
"Access Community Health Centers, Inc.","C8ECS44126","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Madison","WI","53713-4231","Dane","WI-02","2021","$846,423"
"Access Community Health Centers, Inc.","H8GCS48321","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Madison","WI","53713-4231","Dane","WI-02","2023","$27,500"
"Access Community Health Centers, Inc.","H8CCS34115","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Madison","WI","53713-4231","Dane","WI-02","2020","$76,980"
"Access Community Health Centers, Inc.","H8GCS48321","FY 2023 Expanding COVID-19 Vaccination (H8G)","MADISON","WI","53713-4231","Dane","WI02","2023","$317,767"
"Access Community Health Centers, Inc.","H8DCS35528","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Madison","WI","53713-4231","Dane","WI-02","2020","$1,074,995"
"Access Community Health Centers, Inc.","H8FCS41585","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Madison","WI","53713-4231","Dane","WI-02","2021","$5,476,625"
"Access Community Health Centers, Inc.","H8ECS38512","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Madison","WI","53713-4231","Dane","WI-02","2020","$570,724"
"Access Community Health Centers, Inc.","H8FCS41585","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Madison","WI","53713-4231","Dane","WI02","2022","$65,500"
"Access Community Health Network","H8LCS51868","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Chicago","IL","60661-1262","Cook","IL-07","2023","$354,084"
"Access Community Health Network","H8GCS48250","FY 2023 Expanding COVID-19 Vaccination (H8G)","Chicago","IL","60661-1262","Cook","IL07","2023","$1,707,826"
"Access Community Health Network","H8GCS48250","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Chicago","IL","60661-1262","Cook","IL-07","2023","$27,500"
"Access Community Health Network","H8DCS36224","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60661-1262","Cook","IL-07","2020","$4,241,405"
"Access Community Health Network","H8FCS40554","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Chicago","IL","60661-1262","Cook","IL07","2022","$65,500"
"Access Community Health Network","H8ECS38752","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Chicago","IL","60661-1262","Cook","IL-07","2020","$2,698,969"
"Access Community Health Network","H8FCS40554","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Chicago","IL","60661-1262","Cook","IL-07","2021","$31,443,750"
"Access Community Health Network","H8CCS34418","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Chicago","IL","60661-1262","Cook","IL-07","2020","$230,491"
"Access Community Health Network","C8ECS44654","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Chicago","IL","60661-1262","Cook","IL-07","2021","$2,407,136"
"Access Family Health Services, Inc.","C8ECS43727","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Smithville","MS","38870-9745","Monroe","MS-01","2021","$596,976"
"Access Family Health Services, Inc.","H8GCS48785","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Smithville","MS","38870-9745","Monroe","MS-01","2023","$27,500"
"Access Family Health Services, Inc.","H8CCS34851","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Smithville","MS","38870-9745","Monroe","MS-01","2020","$59,127"
"Access Family Health Services, Inc.","H8FCS41514","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Smithville","MS","38870-9745","Monroe","MS01","2022","$65,500"
"Access Family Health Services, Inc.","H8DCS36155","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Smithville","MS","38870-9745","Monroe","MS-01","2020","$672,695"
"Access Family Health Services, Inc.","H8GCS48785","FY 2023 Expanding COVID-19 Vaccination (H8G)","Smithville","MS","38870-9745","Monroe","MS01","2023","$149,278"
"Access Family Health Services, Inc.","H8ECS38611","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Smithville","MS","38870-9745","Monroe","MS-01","2020","$230,569"
"Access Family Health Services, Inc.","H8LCS51415","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Smithville","MS","38870-9745","Monroe","MS-01","2023","$30,599"
"Access Family Health Services, Inc.","H8FCS41514","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Smithville","MS","38870-9745","Monroe","MS-01","2021","$2,128,500"
"Access Health Louisiana","C8ECS44879","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Kenner","LA","70065-4605","Jefferson","LA-01","2021","$1,019,772"
"Access Health Louisiana","H8FCS41527","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Kenner","LA","70065-4605","Jefferson","LA01","2022","$65,500"
"Access Health Louisiana","H8GCS48039","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Kenner","LA","70065-4605","Jefferson","LA-01","2023","$27,500"
"Access Health Louisiana","H8GCS48039","FY 2023 Expanding COVID-19 Vaccination (H8G)","Kenner","LA","70065-4605","Jefferson","LA01","2023","$472,234"
"Access Health Louisiana","H8DCS35748","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kenner","LA","70065-4605","Jefferson","LA-01","2020","$1,400,675"
"Access Health Louisiana","H8ECS37957","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Kenner","LA","70065-4605","Jefferson","LA-01","2020","$807,109"
"Access Health Louisiana","H8FCS41527","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Kenner","LA","70065-4605","Jefferson","LA-01","2021","$8,969,750"
"Access Health Louisiana","H8CCS34981","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Kenner","LA","70065-4605","Jefferson","LA-01","2020","$92,042"
"Access Health Louisiana","H8LCS52000","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Kenner","LA","70065-4605","Jefferson","LA-01","2023","$132,282"
"Achievable Foundation The","H8DCS35794","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Culver City","CA","90230-6971","Los Angeles","CA-37","2020","$535,400"
"Achievable Foundation The","H8CCS34476","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Culver City","CA","90230-6971","Los Angeles","CA-37","2020","$51,625"
"Achievable Foundation The","H8ECS38141","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Culver City","CA","90230-6971","Los Angeles","CA-37","2020","$128,374"
"Achievable Foundation The","H8FCS40941","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Culver City","CA","90230-6971","Los Angeles","CA-37","2021","$759,125"
"ACHIEVABLE FOUNDATION THE","H8GCS47476","FY 2023 Expanding COVID-19 Vaccination (H8G)","Culver City","CA","90230-8735","Los Angeles","CA37","2023","$69,079"
"ACHIEVABLE FOUNDATION THE","H8FCS40941","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Culver City","CA","90230-6971","Los Angeles","CA37","2022","$65,500"
"Adams County Health Center Inc","H8FCS40776","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Council","ID","83612-5015","Adams","ID-01","2021","$910,750"
"Adams County Health Center Inc","H8LCS50794","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Council","ID","83612-5015","Adams","ID-01","2023","$15,967"
"Adams County Health Center Inc","H8GCS47627","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Council","ID","83612-5015","Adams","ID-01","2023","$27,500"
"Adams County Health Center Inc","H8DCS36225","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Council","ID","83612-5015","Adams","ID-01","2020","$557,690"
"Adams County Health Center Inc","H8ECS38458","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Council","ID","83612-5015","Adams","ID-01","2020","$133,519"
"Adams County Health Center Inc","H8CCS34781","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Council","ID","83612-5015","Adams","ID-01","2020","$53,355"
"Adams County Health Center Inc","C8ECS44161","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Council","ID","83612-5015","Adams","ID-01","2021","$525,806"
"ADAMS COUNTY HEALTH CENTER INC","H8GCS47627","FY 2023 Expanding COVID-19 Vaccination (H8G)","COUNCIL","ID","83612-5015","Adams","ID01","2023","$72,913"
"ADAMS COUNTY HEALTH CENTER INC","H8FCS40776","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Council","ID","83612-5015","Adams","ID01","2022","$65,500"
"Adapt","H8LCS51969","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Roseburg","OR","97470-3090","Douglas","OR-04","2023","$12,335"
"Adapt","C8ECS43623","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Roseburg","OR","97470-3090","Douglas","OR-04","2021","$556,034"
"Adapt","H8GCS48262","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Roseburg","OR","97470-3090","Douglas","OR-04","2023","$27,500"
"Adapt","H8CCS34205","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Roseburg","OR","97470-3090","Douglas","OR-04","2020","$52,821"
"Adapt","H8DCS35819","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Roseburg","OR","97470-3090","Douglas","OR-04","2020","$567,350"
"Adapt","H8ECS39022","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Roseburg","OR","97470-3090","Douglas","OR-04","2020","$174,739"
"Adapt","H8FCS41002","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Roseburg","OR","97470-3090","Douglas","OR-04","2021","$1,166,000"
"ADAPT","H8GCS48262","FY 2023 Expanding COVID-19 Vaccination (H8G)","ROSEBURG","OR","97470-3090","Douglas","OR04","2023","$110,344"
"Adelante Healthcare Inc","H8GCS48254","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Phoenix","AZ","85012-2808","Maricopa","AZ-03","2023","$27,500"
"Adelante Healthcare Inc","H8LCS51693","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Phoenix","AZ","85012-2808","Maricopa","AZ-03","2023","$150,879"
"Adelante Healthcare, Inc.","H8FCS40983","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Phoenix","AZ","85012-2808","Maricopa","AZ-09","2021","$13,036,500"
"Adelante Healthcare, Inc.","H8GCS48254","FY 2023 Expanding COVID-19 Vaccination (H8G)","Phoenix","AZ","85012-2808","Maricopa","AZ09","2023","$789,277"
"Adelante Healthcare, Inc.","H8DCS35444","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Phoenix","AZ","85012-2808","Maricopa","AZ-09","2020","$1,841,045"
"Adelante Healthcare, Inc.","H8FCS40983","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Phoenix","AZ","85012-2808","Maricopa","AZ09","2022","$65,500"
"Adelante Healthcare, Inc.","H8CCS34584","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Phoenix","AZ","85012-2808","Maricopa","AZ-09","2020","$111,674"
"Adelante Healthcare, Inc.","H8ECS38473","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Phoenix","AZ","85012-2808","Maricopa","AZ-09","2020","$1,226,599"
"Adelante Healthcare, Inc.","C8ECS44342","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Phoenix","AZ","85012-2808","Maricopa","AZ-09","2021","$1,327,398"
"Adult & Child Mental Health Center Inc","H8GCS48903","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Indianapolis","IN","46227-6066","Marion","IN-06","2023","$27,500"
"Adult & Child Mental Health Center Inc","H8LCS50635","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Indianapolis","IN","46227-6066","Marion","IN-06","2023","$14,053"
"ADULT & CHILD MENTAL HEALTH CENTER INC","H8GCS48903","FY 2023 Expanding COVID-19 Vaccination (H8G)","Indianapolis","IN","46227-6066","Marion","IN07","2023","$108,940"
"Adult And Child Mental Health Center Inc","L1CCS39357","FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing (L1C)","Indianapolis","IN","46227-6066","Marion","IN-07","2020","$215,522"
"Adult And Child Mental Health Center Inc","L2CCS42375","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (L2C)","Indianapolis","IN","46227-6066","Marion","IN07","2022","$65,500"
"Adult And Child Mental Health Center Inc","L2CCS42375","FY 2021 American Rescue Plan - Funding for Look-Alikes (L2C)","Indianapolis","IN","46227-6066","Marion","IN-07","2021","$1,449,250"
"Advance Community Health Inc","H8LCS51127","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Raleigh","NC","27610-3825","Wake","NC-13","2023","$79,001"
"Advance Community Health, Inc.","C8ECS44499","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Raleigh","NC","27610-3825","Wake","NC-04","2021","$702,015"
"Advance Community Health, Inc.","H8CCS34532","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Raleigh","NC","27610-3825","Wake","NC-04","2020","$73,657"
"Advance Community Health, Inc.","H8GCS47973","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Raleigh","NC","27610-3825","Wake","NC-13","2023","$27,500"
"Advance Community Health, Inc.","H8GCS47973","FY 2023 Expanding COVID-19 Vaccination (H8G)","Raleigh","NC","27610-3825","Wake","NC04","2023","$212,791"
"Advance Community Health, Inc.","H8DCS36388","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Raleigh","NC","27610-3825","Wake","NC-04","2020","$937,640"
"Advance Community Health, Inc.","H8ECS38409","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Raleigh","NC","27610-3825","Wake","NC-04","2020","$373,804"
"Advance Community Health, Inc.","H8FCS40577","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Raleigh","NC","27610-3825","Wake","NC-04","2021","$4,466,875"
"Advance Community Health, Inc.","H8FCS40577","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Raleigh","NC","27610-3825","Wake","NC04","2022","$65,500"
"Advocates For A Healthy Community Inc","H8LCS50952","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Springfield","MO","65806-1102","Greene","MO-07","2023","$113,349"
"Advocates For A Healthy Community Inc","H8GCS47751","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Springfield","MO","65806-1102","Greene","MO-07","2023","$27,500"
"Advocates For A Healthy Community, Inc.","C8ECS44308","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Springfield","MO","65806-1102","Greene","MO-07","2021","$1,210,160"
"Advocates For A Healthy Community, Inc.","H8CCS34703","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Springfield","MO","65806-1105","Greene","MO-07","2020","$124,543"
"Advocates For A Healthy Community, Inc.","H8DCS35940","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","MO","65806-1105","Greene","MO-07","2020","$1,988,555"
"Advocates For A Healthy Community, Inc.","H8ECS38394","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Springfield","MO","65806-1105","Greene","MO-07","2020","$1,066,729"
"Advocates For A Healthy Community, Inc.","H8FCS41683","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Springfield","MO","65806-1105","Greene","MO-07","2021","$12,564,750"
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.","H8GCS47751","FY 2023 Expanding COVID-19 Vaccination (H8G)","Springfield","MO","65806-1102","Greene","MO07","2023","$649,876"
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.","H8FCS41683","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Springfield","MO","65806-1102","Greene","MO07","2022","$65,500"
"Affinia Healthcare","C8ECS44889","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Saint Louis","MO","63106-3454","St. Louis City","MO-01","2021","$981,228"
"Affinia Healthcare","H8GCS48137","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Saint Louis","MO","63106-3454","St. Louis City","MO-01","2023","$27,500"
"Affinia Healthcare","H8CCS34718","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Saint Louis","MO","63106-3454","St. Louis City","MO-01","2020","$118,263"
